"AccSpeciesName","OrigValueStr"
"Hieracium sommerfeltii","yellow"
"Hieracium sparsiramum","yellow"
"Hieracium sphaerocephalum","yellow"
"Pilosella cymiflora","yellow"
"Hieracium stenoplecum","yellow"
"Hieracium plicatum","yellow"
"Hieracium subrigidum","yellow"
"Hieracium sulphureum","yellow"
"Hieracium umbellatum","yellow"
"Hieracium umbrosum","yellow"
"Hieracium valdepilosum","yellow"
"Hieracium valoddae","yellow"
"Hieracium villosum","yellow"
"Pilosella viridifolia","yellow"
"Pilosella visianii","yellow"
"lachenalii subsp. subsp. cruentifolium","yellow"
"Pilosella walteri-langii","yellow"
"Hieracium hypochoeroides subsp. wiesbaurianum","yellow"
"Pilosella ziziana","yellow"
"Hippocrepis comosa","yellow"
"Hirschfeldia incana","yellow"
"Hyoscyamus niger","yellow"
"Hyoscyamus niger","yellow"
"Hypericum elegans","yellow"
"Hypericum elodes","yellow"
"Hypericum hirsutum","yellow"
"Hypericum humifusum","yellow"
"Hypericum maculatum","yellow"
"Hypericum majus","yellow"
"Hypericum montanum","yellow"
"Hypericum perforatum","yellow"
"Hypericum pulchrum","yellow"
"Hypericum tetrapterum","yellow"
"Hypericum x desetangsii","yellow"
"Hypochaeris glabra","yellow"
"Hypochaeris maculata","yellow"
"Hypochaeris radicata","yellow"
"Hypochaeris uniflora","yellow"
"IMPATIENS NOLI-TANGERE","yellow"
"Impatiens parviflora","yellow"
"Inula britannica","yellow"
"Inula conyza","yellow"
"Inula germanica","yellow"
"Dittrichia graveolens","yellow"
"Inula helenium","yellow"
"Inula helvetica","yellow"
"Inula hirta","yellow"
"Inula salicina","yellow"
"Iris pseudacorus","yellow"
"Isatis tinctoria","yellow"
"Sempervivum globiferum subsp. arenarium","yellow"
"Sempervivum globiferum","yellow"
"Juncus maritimus","yellow"
"Juncus subnodulosus","yellow"
"Kerria japonica","yellow"
"Kickxia elatine","yellow"
"Kickxia spuria","yellow"
"Laburnum anagyroides","yellow"
"Lactuca quercina","yellow"
"Lactuca saligna","yellow"
"Lactuca serriola","yellow"
"Lactuca viminea","yellow"
"Lactuca viminea","yellow"
"Lactuca virosa","yellow"
"Lapsana communis","yellow"
"Lathyrus aphaca","yellow"
"Lathyrus aphaca","yellow"
"Lathyrus laevigatus","yellow"
"Lathyrus pratensis","yellow"
"Cytisus nigricans","yellow"
"Scorzoneroides autumnalis","yellow"
"Scorzoneroides helvetica","yellow"
"Leontodon hispidus","yellow"
"Leontodon incanus","yellow"
"Taraxacum sonchoides","yellow"
"Leontodon saxatilis","yellow"
"Leontopodium nivale subsp. alpinum","yellow"
"Lepidium perfoliatum","yellow"
"Levisticum officinale","yellow"
"Levisticum officinale","yellow"
"Linaria dalmatica","yellow"
"Linaria genistifolia","yellow"
"Linaria spartea","yellow"
"Linaria vulgaris","yellow"
"Linum flavum","yellow"
"Linum flavum","yellow"
"Liparis loeselii","yellow"
"Loranthus europaeus","yellow"
"Lotus alpinus","yellow"
"Lotus corniculatus","yellow"
"Lotus tenuis","yellow"
"Lotus pedunculatus","yellow"
"Lupinus luteus","yellow"
"Luzula luzulina","yellow"
"Lycopersicon esculentum","yellow"
"Lysimachia nemorum","yellow"
"Lysimachia nummularia","yellow"
"Lysimachia punctata","yellow"
"Lysimachia thyrsiflora","yellow"
"Lysimachia vulgaris","yellow"
"Berberis aquifolium","yellow"
"Malaxis monophyllos","yellow"
"Medicago arabica","yellow"
"Medicago falcata","yellow"
"Medicago lupulina","yellow"
"Medicago minima","yellow"
"Medicago polymorpha","yellow"
"Melampyrum cristatum","yellow"
"Melampyrum nemorosum","yellow"
"Melampyrum pratense","yellow"
"Melampyrum sylvaticum","yellow"
"Melilotus altissimus","yellow"
"Melilotus dentatus","yellow"
"Melilotus indicus","yellow"
"Melilotus officinalis","yellow"
"Mimulus guttatus","yellow"
"Mimulus moschatus","yellow"
"Monotropa hypopitys","yellow"
"Monotropa hypopitys","yellow"
"Myagrum perfoliatum","yellow"
"Lactuca muralis","yellow"
"Myosotis discolor","yellow"
"Myriophyllum alterniflorum","yellow"
"Narcissus pseudonarcissus","yellow"
"Narcissus poeticus subsp. radiiflorus","yellow"
"Narthecium ossifragum","yellow"
"Neslia paniculata","yellow"
"Nicotiana rustica","yellow"
"Nuphar lutea","yellow"
"Nuphar pumila","yellow"
"Nymphoides peltata","yellow"
"Odontites luteus","yellow"
"Oenothera acutifolia","yellow"
"Oenothera oakesiana","yellow"
"Oenothera parviflora subsp. angustissima","yellow"
"Oenothera biennis","yellow"
"Oenothera brevispicata","yellow"
"Oenothera strigosa subsp. canovirens","yellow"
"Oenothera clavifera","yellow"
"Oenothera coloratissima","yellow"
"Oenothera compacta","yellow"
"Oenothera glazioviana","yellow"
"Oenothera cruciata","yellow"
"Oenothera deflexa","yellow"
"Oenothera strigosa var. depressa","yellow"
"Oenothera editicaulis","yellow"
"Oenothera ersteinensis","yellow"
"Oenothera flaemingina","yellow"
"Oenothera glazioviana","yellow"
"Oenothera inconspecta","yellow"
"Oenothera indivisa","yellow"
"Oenothera jueterbogensis","yellow"
"Oenothera macrosperma","yellow"
"Oenothera mediomarchica","yellow"
"Oenothera nuda","yellow"
"Oenothera oakesiana","yellow"
"Oenothera obscurifolia","yellow"
"Oenothera octolineata","yellow"
"Oenothera oehlkersi","yellow"
"Oenothera paradoxa","yellow"
"Oenothera parviflora","yellow"
"Oenothera pseudocernua","yellow"
"Oenothera punctulata","yellow"
"Oenothera biennis var. pycnocarpa","yellow"
"Oenothera pyramidiflora","yellow"
"Oenothera sackvillensis var. royfraseri","yellow"
"Oenothera biennis","yellow"
"Oenothera biennis","yellow"
"Oenothera hazeliae var. subterminalis","yellow"
"Oenothera victorinii","yellow"
"Oenothera albipercurva","yellow"
"Oenothera braunii","yellow"
"Oenothera drawertii","yellow"
"Oenothera fallax","yellow"
"Oenothera hoelscheri","yellow"
"Oenothera parviflora","yellow"
"Oenothera wienii","yellow"
"Ononis natrix","yellow"
"Onosma arenaria","yellow"
"Orchis pallens","yellow"
"Orobanche alsatica","yellow"
"Orobanche flava","yellow"
"Orobanche lucorum","yellow"
"Orobanche lutea","yellow"
"Orobanche elatior","yellow"
"Orobanche ramosa","yellow"
"Orobanche rapum-genistae","yellow"
"Orobanche reticulata","yellow"
"Oxalis corniculata","yellow"
"Oxalis dillenii","yellow"
"Oxalis stricta","yellow"
"Oxytropis pilosa","yellow"
"Parentucellia viscosa","yellow"
"Pastinaca sativa","yellow"
"Pedicularis elongata","yellow"
"Pedicularis foliosa","yellow"
"Pedicularis oederi","yellow"
"Pedicularis sceptrum-carolinum","yellow"
"Petasites spurius","yellow"
"Petroselinum crispum","yellow"
"Peucedanum alsaticum","yellow"
"Peucedanum carvifolia","yellow"
"Peucedanum officinale","yellow"
"Helminthotheca echioides","yellow"
"Picris hieracioides","yellow"
"Plantago major subsp. intermedia","yellow"
"Plantago major","yellow"
"Plantago major subsp. winteri","yellow"
"Podospermum laciniatum","yellow"
"Polygala chamaebuxus","yellow"
"Portulaca oleracea","yellow"
"Potentilla anglica","yellow"
"Potentilla anserina","yellow"
"Potentilla argentea","yellow"
"Potentilla aurea","yellow"
"Potentilla brauniana","yellow"
"Potentilla collina","yellow"
"Potentilla crantzii","yellow"
"Potentilla erecta","yellow"
"Dasiphora fruticosa","yellow"
"Potentilla heptaphylla","yellow"
"Potentilla incana","yellow"
"Potentilla inclinata","yellow"
"Potentilla intermedia","yellow"
"Potentilla leucopolitana","yellow"
"Potentilla neglecta","yellow"
"Potentilla tabernaemontani","yellow"
"Potentilla norvegica","yellow"
"Potentilla praecox","yellow"
"Potentilla pusilla","yellow"
"Potentilla recta","yellow"
"Potentilla reptans","yellow"
"Potentilla rhenana","yellow"
"Potentilla aspegrenii","yellow"
"Potentilla supina","yellow"
"Potentilla thuringiaca","yellow"
"Potentilla thyrsiflora","yellow"
"Potentilla x mixta","yellow"
"Primula auricula","yellow"
"Primula elatior","yellow"
"Primula veris","yellow"
"Primula vulgaris","yellow"
"Pseudofumaria alba","yellow"
"Pseudofumaria lutea","yellow"
"Pulicaria dysenterica","yellow"
"Pulicaria dysenterica","yellow"
"Pulicaria vulgaris","yellow"
"Quercus cerris","yellow"
"Ranunculus acris","yellow"
"Ranunculus arvensis","yellow"
"Ranunculus walo-kochii","yellow"
"Ranunculus bulbosus","yellow"
"Ranunculus carinthiacus","yellow"
"Ficaria verna","yellow"
"Ranunculus flammula","yellow"
"Ranunculus villarsii","yellow"
"Ranunculus hybridus","yellow"
"Ranunculus illyricus","yellow"
